hip,hd,proper,bf,bayer,flam,con,ra_deg,dec,mag,ci,spect,dist
28524,41047,"","","","",Col,90.31791000000001,-33.911835,5.54,1.58,K5III,188.3239
28532,36905,"","","","",Cep,90.33408,85.182113,6.17,1.564,M0III,416.6667
28561,40724,"","","","",Gem,90.42345,22.401001,6.36,-0.071,B8V,240.9639
28562,40486,"","","","",Aur,90.429405,48.959445,5.98,1.437,K0,242.1308
28574,40967,"",3    Mon,"",3,Mon,90.460095,-10.59793,4.92,-0.128,B5III,240.3846
28596,41586,"","","","",Pic,90.53886,-60.09683,6.41,1.508,M4III,294.1176
28614,40932,"",61Mu  Ori,Mu,61,Ori,90.59583,9.647276,4.12,0.17,Am...,47.5059
28622,41125,"","","","",Lep,90.64089,-14.497157,6.2,0.947,K0III,125.3133
28634,40650,"","","","",Aur,90.68805,47.809529,6.49,0.567,F5,28.6123
28637,40626,"","","","",Aur,90.702495,49.905678,6.04,-0.033,B9.5IV,130.2083
28642,40722,"","","","",Aur,90.72289500000001,43.378334,6.38,1.205,K0,106.9519
28644,40832,"","","","",Aur,90.729855,32.635697,6.23,0.456,F4V,47.5511
28656,40568,"","","","",Cam,90.76797,57.018314,6.5,0.953,G5,204.0816
28675,41312,"","","","",Lep,90.814995,-26.284544,5.03,1.335,K3II/IIICNv,124.6883
28677,40801,"",38    Aur,"",38,Aur,90.82473,42.911564,6.08,0.979,K0III,65.2316
28686,41076,"","","","",Ori,90.85319999999999,11.681065,6.09,-0.035,A0Vs,158.9825
28691,41040,"",64    Ori,"",64,Ori,90.86403,19.690561,5.14,-0.097,B8V,220.2643
28716,41117,"",62Chi2Ori,Chi-2,62,Ori,90.979935,20.138452,4.64,0.236,B2Iavar,552.4862
28734,41116,"",1    Gem,"",1,Gem,91.03006500000001,23.263341,4.16,0.835,G7III,47.5511
28744,41335,"","","","",Mon,91.056255,-6.708941,5.19,-0.066,B2Vne+,403.2258
28756,41534,"","","","",Col,91.08444,-32.17243,5.65,-0.186,B2V,308.642
28764,41700,"","","","",Pup,91.11858,-45.036603,6.35,0.517,G0IV-V,26.5675
28765,40873,"","","","",Aur,91.12128,51.573395,6.39,0.196,A7III,134.9528
28790,41742,"","","","",Pup,91.167165,-45.078932,5.93,0.493,F4V,26.8962
28812,41361,"",63    Ori,"",63,Ori,91.242435,5.41997,5.67,1.047,G7III:,401.6064
28814,41380,"",66    Ori,"",66,Ori,91.24317,4.158671,5.63,1.041,G4III,100000.0
28816,41511,"",17    Lep,"",17,Lep,91.246365,-16.484435,4.92,0.196,Ap shell,278.5515
28820,41162,"","","","",Aur,91.26076499999999,37.964272,6.32,0.825,K0III+...,182.8154
28823,41074,"",39    Aur,"",39,Aur,91.26414,42.981635,5.9,0.358,F3V,49.7265
28829,40827,"","","","",Cam,91.28428500000001,59.39321,6.32,1.116,K1III-IV,132.4503
28831,40055,"","","","",Cam,91.28886,75.585919,6.28,1.512,K5,240.9639
28854,41547,"","","","",Mon,91.36263000000001,-10.242596,5.88,0.374,F4V:,54.9149
28855,41759,"","","","",Col,91.36323,-35.513647,5.8,0.027,A0V,83.1255
28861,41269,"","","","",Aur,91.39125,33.59905,6.23,-0.079,B9sp...,214.5923
28899,41843,"","","","",Col,91.52306999999999,-29.758624,5.79,0.041,A1V,85.2515
28908,41330,"","","","",Aur,91.53562500000001,35.38774,6.12,0.6,G0V,25.6213
28910,41695,"",18The Lep,The,18,Lep,91.53885,-14.935254,4.67,0.046,A0V,52.9661
28909,42525,"",Eta1Dor,Eta-1,"",Dor,91.539045,-66.039621,5.72,-0.024,A0V,98.6193
28930,41429,"","","","",Aur,91.593525,29.512414,6.01,1.73,M3II comp,225.2252
28943,41841,"","","","",Lep,91.63374,-23.110846,5.46,0.064,A2V,141.0437
28946,41357,"",40    Aur,"",40,Aur,91.646235,38.482644,5.35,0.251,A4m,104.4932
28949,41692,"","","","",Mon,91.6614,-4.193836,5.37,-0.122,B5IV,324.6753
28951,40956,"","","","",Cam,91.663245,63.453838,6.42,1.011,K0,118.4834
28957,42078,"",Pi 1Col,Pi-1,"",Col,91.67103,-42.298804,6.15,0.246,Am,83.4028
28984,41933,"","","","",Lep,91.73964,-21.812299,5.74,1.584,M3II/III,384.6154
28988,42168,"","","","",Pup,91.757805,-45.09151,6.48,1.162,K1III,112.7396
28991,42540,"","","","",Pic,91.76406,-62.154581,5.04,1.256,K2/K3III,110.8647
28992,42054,"","","","",Col,91.76529,-34.312021,5.82,-0.137,B4Vnn,312.5
29025,41467,"","","","",Aur,91.861485,41.854282,6.15,1.202,K0III,217.8649
29034,42167,Elkurud,The Col,The,"",Col,91.88179500000001,-37.25292,5.0,-0.095,B8:IV,221.2389
29038,41753,"",67Nu  Ori,Nu,67,Ori,91.893015,14.768472,4.42,-0.164,B3IV,158.2278
29048,42042,"",19    Lep,"",19,Lep,91.923495,-19.165866,5.28,1.661,M1III,257.0694
29064,42303,"",Pi 2Col,Pi-2,"",Col,91.97025000000001,-42.154043,5.5,0.007,A0V,74.4602
29114,41636,"","","","",Aur,92.0964,41.055726,6.34,1.044,G9III,127.8772
29129,42448,"","","","",Pup,92.144295,-44.356212,6.26,-0.135,B8II,227.2727
29134,43107,"",Nu  Dor,Nu,"",Dor,92.18464499999999,-68.843409,5.06,-0.072,B8V,91.9118
29140,42132,"","","","",Mon,92.19876,-6.821373,6.46,0.876,G5,104.6025
29150,42301,"","","","",Lep,92.241105,-22.427412,5.49,-0.01,A0V,75.5287
29151,42111,"","","","",Ori,92.24127,2.499692,5.7,0.067,A3Vn,200.8032
29178,42327,"","","","",Lep,92.33415000000001,-18.126385,6.36,-0.04,B9Vn...,152.6718
29185,42683,"","","","",Pup,92.34761999999999,-49.562831,6.48,0.502,F8V,59.1716
29196,42049,"","","","",Gem,92.38515000000001,22.190262,5.93,1.626,K4III,632.9114
29205,42341,"","","","",Lep,92.39385,-14.584619,5.56,1.15,K2III,63.8162
29210,42278,"","","","",Mon,92.40105,-5.711429,6.16,0.352,F3IVw,62.5
29225,42087,"",3    Gem,"",3,Gem,92.43327000000001,23.113466,5.75,0.192,B2.5Ib,100000.0
29233,42486,"","","","",Lep,92.44644000000001,-26.701086,6.27,1.01,G8/K0III,145.9854
29234,42443,"","","","",Lep,92.44983,-22.774343,5.71,0.454,F5V,49.0436
29246,41597,"",37    Cam,"",37,Cam,92.49584999999999,58.935694,5.35,1.096,G8III,116.8224
29263,42682,"","","","",Col,92.54337000000001,-40.353792,5.54,1.665,M2II/III,261.0966
29271,43834,"",Alp Men,Alp,"",Men,92.55948000000001,-74.753045,5.08,0.714,G5V,10.1978
29276,42933,"",Del Pic,Del,"",Pic,92.57463,-54.968645,4.72,-0.229,B0.5IV,398.4064
29294,42621,"","","","",Lep,92.64450000000001,-27.154343,5.72,1.072,K1III,101.1122
29304,42834,"","","","",Pup,92.66637,-45.281988,6.28,-0.012,A0V,232.0186
29323,42536,"","","","",Mon,92.755065,-6.754221,6.15,0.01,A0sp...,170.3578
29326,42351,"","","","",Ori,92.757375,18.130465,6.37,1.35,K1II,338.9831
29348,41782,"","","",39,Cam,92.806755,60.453487,6.48,1.698,M0,362.3188
29347,42729,"","","","",Lep,92.806905,-26.4821,6.08,-0.021,B9.5IV/V,207.0393
29353,43455,"",Eta2Dor,Eta-2,"",Dor,92.8125,-65.589417,5.01,1.599,M2.5III,196.4637
29371,42477,"","","","",Ori,92.86629,13.638561,6.04,0.021,A0Vnn,132.1004
29379,42398,"",5    Gem,"",5,Gem,92.884605,24.420253,5.83,1.11,K0III,174.216
29388,42126,"",41    Aur,"",41,Aur,92.90244,48.710989,5.78,0.1,A3V+...,102.459
29401,42657,"","","","",Mon,92.93215500000001,-4.66544,6.18,-0.079,B9MNp...,176.0563
29404,42083,"","","","",Aur,92.941305,52.647186,6.28,0.141,A5m,102.9866
29417,42690,"","","","",Mon,92.96589,-6.550287,5.06,-0.201,B2V,366.3004
29426,42560,"",70Xi  Ori,Xi,70,Ori,92.984985,14.208765,4.45,-0.18,B3IV,186.2197
29433,42509,"",68    Ori,"",68,Ori,93.00558,19.790543,5.76,-0.071,B9.5V,255.102
29434,42545,"",69    Ori,"",69,Ori,93.01366499999999,16.130406,4.95,-0.149,B5Vn,162.0746
29451,42471,"","","","",Aur,93.08385,32.69338,5.78,1.646,M1III,285.7143
29490,41927,"",36    Cam,"",36,Cam,93.21273000000001,65.718422,5.36,1.344,K2II-III,219.2982
29509,42787,"","","","",Ori,93.24822,6.016258,6.45,1.621,M...,182.4818
